result,pnl,tick,time_window,date,month,stock
TIMEOUT,-32425.44,8,15,2026-03-03,2026-03,1590
TIMEOUT,-768.95,1,5,2026-03-03,2026-03,2412
TIMEOUT,-268.95,1,10,2026-03-03,2026-03,2412
TIMEOUT,-768.95,1,15,2026-03-03,2026-03,2412
TIMEOUT,-768.95,2,5,2026-03-03,2026-03,2412
TIMEOUT,-268.95,2,10,2026-03-03,2026-03,2412
TIMEOUT,-768.95,2,15,2026-03-03,2026-03,2412
TIMEOUT,-768.95,3,5,2026-03-03,2026-03,2412
TIMEOUT,-268.95,3,10,2026-03-03,2026-03,2412
TIMEOUT,-768.95,3,15,2026-03-03,2026-03,2412
TIMEOUT,-768.95,5,5,2026-03-03,2026-03,2412
TIMEOUT,-268.95,5,10,2026-03-03,2026-03,2412
TIMEOUT,-768.95,5,15,2026-03-03,2026-03,2412
TIMEOUT,-768.95,8,5,2026-03-03,2026-03,2412
TIMEOUT,-268.95,8,10,2026-03-03,2026-03,2412
TIMEOUT,-768.95,8,15,2026-03-03,2026-03,2412
TP,1567.2200000000003,1,5,2026-03-03,2026-03,6805
TP,1567.2200000000003,1,10,2026-03-03,2026-03,6805
TP,1567.2200000000003,1,15,2026-03-03,2026-03,6805
TP,6567.22,2,5,2026-03-03,2026-03,6805
TP,6567.22,2,10,2026-03-03,2026-03,6805
TP,6567.22,2,15,2026-03-03,2026-03,6805
