result,pnl,tick,time_window,entry,date,month
TIMEOUT,-1975.5599999999997,8,30,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,10,5,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,10,10,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,10,15,1010.0,2024-09-26,2024-09
TIMEOUT,-6975.5599999999995,10,20,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,10,30,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,15,5,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,15,10,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,15,15,1010.0,2024-09-26,2024-09
TIMEOUT,-6975.5599999999995,15,20,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,15,30,1010.0,2024-09-26,2024-09
TP,-912.9679999999998,1,5,978.0,2024-09-30,2024-09
TP,-912.9679999999998,1,10,978.0,2024-09-30,2024-09
TP,-912.9679999999998,1,15,978.0,2024-09-30,2024-09
TP,-912.9679999999998,1,20,978.0,2024-09-30,2024-09
TP,-912.9679999999998,1,30,978.0,2024-09-30,2024-09
TP,87.03200000000015,2,5,978.0,2024-09-30,2024-09
TP,87.03200000000015,2,10,978.0,2024-09-30,2024-09
TP,87.03200000000015,2,15,978.0,2024-09-30,2024-09
TP,87.03200000000015,2,20,978.0,2024-09-30,2024-09
TP,87.03200000000015,2,30,978.0,2024-09-30,2024-09
TP,1087.0320000000002,3,5,978.0,2024-09-30,2024-09
TP,1087.0320000000002,3,10,978.0,2024-09-30,2024-09
TP,1087.0320000000002,3,15,978.0,2024-09-30,2024-09
TP,1087.0320000000002,3,20,978.0,2024-09-30,2024-09
TP,1087.0320000000002,3,30,978.0,2024-09-30,2024-09
TP,3087.032,5,5,978.0,2024-09-30,2024-09
TP,3087.032,5,10,978.0,2024-09-30,2024-09
TP,3087.032,5,15,978.0,2024-09-30,2024-09
TP,3087.032,5,20,978.0,2024-09-30,2024-09
TP,3087.032,5,30,978.0,2024-09-30,2024-09
TP,6087.032,8,5,978.0,2024-09-30,2024-09
TP,6087.032,8,10,978.0,2024-09-30,2024-09
TP,6087.032,8,15,978.0,2024-09-30,2024-09
TP,6087.032,8,20,978.0,2024-09-30,2024-09
TP,6087.032,8,30,978.0,2024-09-30,2024-09
TIMEOUT,4087.032,10,5,978.0,2024-09-30,2024-09
TP,8087.032,10,10,978.0,2024-09-30,2024-09
TP,8087.032,10,15,978.0,2024-09-30,2024-09
TP,8087.032,10,20,978.0,2024-09-30,2024-09
TP,8087.032,10,30,978.0,2024-09-30,2024-09
TIMEOUT,4087.032,15,5,978.0,2024-09-30,2024-09
TIMEOUT,7087.032,15,10,978.0,2024-09-30,2024-09
TIMEOUT,8087.032,15,15,978.0,2024-09-30,2024-09
TIMEOUT,6087.032,15,20,978.0,2024-09-30,2024-09
TIMEOUT,6087.032,15,30,978.0,2024-09-30,2024-09
TP,-891.452,1,5,967.0,2024-10-01,2024-10
TP,-891.452,1,10,967.0,2024-10-01,2024-10
TP,-891.452,1,15,967.0,2024-10-01,2024-10
TP,-891.452,1,20,967.0,2024-10-01,2024-10
TP,-891.452,1,30,967.0,2024-10-01,2024-10
TP,108.548,2,5,967.0,2024-10-01,2024-10
TP,108.548,2,10,967.0,2024-10-01,2024-10
TP,108.548,2,15,967.0,2024-10-01,2024-10
TP,108.548,2,20,967.0,2024-10-01,2024-10
TP,108.548,2,30,967.0,2024-10-01,2024-10
TP,1108.548,3,5,967.0,2024-10-01,2024-10
TP,1108.548,3,10,967.0,2024-10-01,2024-10
TP,1108.548,3,15,967.0,2024-10-01,2024-10
TP,1108.548,3,20,967.0,2024-10-01,2024-10
TP,1108.548,3,30,967.0,2024-10-01,2024-10
TP,3108.548,5,5,967.0,2024-10-01,2024-10
TP,3108.548,5,10,967.0,2024-10-01,2024-10
TP,3108.548,5,15,967.0,2024-10-01,2024-10
TP,3108.548,5,20,967.0,2024-10-01,2024-10
TP,3108.548,5,30,967.0,2024-10-01,2024-10
TIMEOUT,2108.548,8,5,967.0,2024-10-01,2024-10
TIMEOUT,1108.548,8,10,967.0,2024-10-01,2024-10
TIMEOUT,2108.548,8,15,967.0,2024-10-01,2024-10
TIMEOUT,-891.452,8,20,967.0,2024-10-01,2024-10
TP,6108.548,8,30,967.0,2024-10-01,2024-10
TIMEOUT,2108.548,10,5,967.0,2024-10-01,2024-10
TIMEOUT,1108.548,10,10,967.0,2024-10-01,2024-10
TIMEOUT,2108.548,10,15,967.0,2024-10-01,2024-10
TIMEOUT,-891.452,10,20,967.0,2024-10-01,2024-10
TP,8108.548,10,30,967.0,2024-10-01,2024-10
TIMEOUT,2108.548,15,5,967.0,2024-10-01,2024-10
TIMEOUT,1108.548,15,10,967.0,2024-10-01,2024-10
TIMEOUT,2108.548,15,15,967.0,2024-10-01,2024-10
TIMEOUT,-891.452,15,20,967.0,2024-10-01,2024-10
TIMEOUT,8108.548,15,30,967.0,2024-10-01,2024-10
TIMEOUT,-8928.616,1,5,986.0,2024-10-04,2024-10
TIMEOUT,-7928.616,1,10,986.0,2024-10-04,2024-10
TIMEOUT,-6928.616,1,15,986.0,2024-10-04,2024-10
TIMEOUT,-6928.616,1,20,986.0,2024-10-04,2024-10
TIMEOUT,-3928.616,1,30,986.0,2024-10-04,2024-10
TIMEOUT,-8928.616,2,5,986.0,2024-10-04,2024-10
TIMEOUT,-7928.616,2,10,986.0,2024-10-04,2024-10
TIMEOUT,-6928.616,2,15,986.0,2024-10-04,2024-10
TIMEOUT,-6928.616,2,20,986.0,2024-10-04,2024-10
TIMEOUT,-3928.616,2,30,986.0,2024-10-04,2024-10
TIMEOUT,-8928.616,3,5,986.0,2024-10-04,2024-10
TIMEOUT,-7928.616,3,10,986.0,2024-10-04,2024-10
