result,pnl,tick,date,month,stock
TIMEOUT,-22034.24,5,2026-04-20,2026-04,8210
TIMEOUT,-22034.24,8,2026-04-20,2026-04,8210
TP,273.10400000000004,1,2026-04-20,2026-04,9917
TIMEOUT,-726.896,2,2026-04-20,2026-04,9917
TIMEOUT,-726.896,3,2026-04-20,2026-04,9917
TIMEOUT,-726.896,5,2026-04-20,2026-04,9917
TIMEOUT,-726.896,8,2026-04-20,2026-04,9917
TP,236.918,1,2026-04-20,2026-04,5347
TP,736.918,2,2026-04-20,2026-04,5347
TP,1236.9180000000001,3,2026-04-20,2026-04,5347
TP,2236.918,5,2026-04-20,2026-04,5347
TP,3736.918,8,2026-04-20,2026-04,5347
TIMEOUT,-4246.456,1,2026-04-20,2026-04,2385
TIMEOUT,-4246.456,2,2026-04-20,2026-04,2385
TIMEOUT,-4246.456,3,2026-04-20,2026-04,2385
TIMEOUT,-4246.456,5,2026-04-20,2026-04,2385
TIMEOUT,-4246.456,8,2026-04-20,2026-04,2385
TP,2965.76,1,2026-04-20,2026-04,3324
TP,7965.76,2,2026-04-20,2026-04,3324
TIMEOUT,-2034.24,3,2026-04-20,2026-04,3324
TIMEOUT,-2034.24,5,2026-04-20,2026-04,3324
TIMEOUT,-2034.24,8,2026-04-20,2026-04,3324
TP,198.776,1,2026-04-20,2026-04,1513
TP,698.7760000000001,2,2026-04-20,2026-04,1513
TP,1198.776,3,2026-04-20,2026-04,1513
TP,2198.776,5,2026-04-20,2026-04,1513
TIMEOUT,-801.2239999999999,8,2026-04-20,2026-04,1513
TP,2486.5400000000004,1,2026-04-20,2026-04,5269
TP,7486.540000000001,2,2026-04-20,2026-04,5269
TP,12486.54,3,2026-04-20,2026-04,5269
TP,22486.54,5,2026-04-20,2026-04,5269
TIMEOUT,-27513.46,8,2026-04-20,2026-04,5269
TP,1322.7200000000003,1,2026-04-20,2026-04,6805
TP,6322.72,2,2026-04-20,2026-04,6805
TP,11322.720000000001,3,2026-04-20,2026-04,6805
TP,21322.72,5,2026-04-20,2026-04,6805
TP,36322.72,8,2026-04-20,2026-04,6805
TP,255.50000000000003,1,2026-04-20,2026-04,5483
TP,755.5,2,2026-04-20,2026-04,5483
TP,1255.5,3,2026-04-20,2026-04,5483
TP,2255.5,5,2026-04-20,2026-04,5483
TP,3755.5,8,2026-04-20,2026-04,5483
TP,183.128,1,2026-04-21,2026-04,3042
TP,683.1279999999999,2,2026-04-21,2026-04,3042
TP,1183.128,3,2026-04-21,2026-04,3042
TP,2183.128,5,2026-04-21,2026-04,3042
TP,3683.128,8,2026-04-21,2026-04,3042
TP,205.622,1,2026-04-21,2026-04,4919
TP,705.6220000000001,2,2026-04-21,2026-04,4919
TP,1205.622,3,2026-04-21,2026-04,4919
TP,2205.622,5,2026-04-21,2026-04,4919
TP,3705.622,8,2026-04-21,2026-04,4919
TIMEOUT,-42542.8,1,2026-04-21,2026-04,3163
TIMEOUT,-42542.8,2,2026-04-21,2026-04,3163
TIMEOUT,-42542.8,3,2026-04-21,2026-04,3163
TIMEOUT,-42542.8,5,2026-04-21,2026-04,3163
TIMEOUT,-42542.8,8,2026-04-21,2026-04,3163
TP,239.85200000000003,1,2026-04-21,2026-04,5483
TP,739.8520000000001,2,2026-04-21,2026-04,5483
TP,1239.852,3,2026-04-21,2026-04,5483
TP,2239.852,5,2026-04-21,2026-04,5483
TP,3739.852,8,2026-04-21,2026-04,5483
TP,230.072,1,2026-04-21,2026-04,5347
TP,730.072,2,2026-04-21,2026-04,5347
TP,1230.0720000000001,3,2026-04-21,2026-04,5347
TP,2230.072,5,2026-04-21,2026-04,5347
TP,3730.072,8,2026-04-21,2026-04,5347
TP,173.348,1,2026-04-21,2026-04,2645
TP,673.348,2,2026-04-21,2026-04,2645
TP,1173.348,3,2026-04-21,2026-04,2645
TIMEOUT,-826.652,5,2026-04-21,2026-04,2645
